N,Run,ExecutionTime
64,1,0.001223
64,2,0.002688
64,3,0.001760
64,4,0.003553
64,5,0.003162
64,6,0.001069
64,7,0.000996
64,8,0.002864
64,9,0.001792
64,10,0.001685
128,1,0.004492
128,2,0.004809
128,3,0.004924
128,4,0.004486
128,5,0.004809
128,6,0.004390
128,7,0.005511
128,8,0.004508
128,9,0.004591
128,10,0.004472
256,1,0.021022
256,2,0.019466
256,3,0.020290
256,4,0.019609
256,5,0.020946
256,6,0.019891
256,7,0.019212
256,8,0.019727
256,9,0.020103
256,10,0.020717
512,1,0.089129
512,2,0.086919
512,3,0.086957
512,4,0.090453
512,5,0.088572
512,6,0.086551
512,7,0.088453
512,8,0.094413
512,9,0.099708
512,10,0.089612
1024,1,0.391927
1024,2,0.389637
1024,3,0.386741
1024,4,0.393021
1024,5,0.389174
1024,6,0.385039
1024,7,0.408227
1024,8,0.389854
1024,9,0.395786
1024,10,0.388724
2048,1,1.720634
2048,2,1.681565
2048,3,1.684248
2048,4,1.680884
2048,5,1.686257
2048,6,1.702694
2048,7,1.678044
2048,8,1.677345
2048,9,1.692876
2048,10,1.685455
4096,1,7.443984
4096,2,7.285099
4096,3,7.163069
4096,4,7.243514
4096,5,7.221516
4096,6,7.362069
4096,7,7.286213
4096,8,7.263930
4096,9,7.365102
4096,10,9.505687
