N,Run,ExecutionTime
64,1,0.001563
64,2,0.001568
64,3,0.001539
64,4,0.001212
64,5,0.001557
64,6,0.001199
64,7,0.001568
64,8,0.000755
64,9,0.001564
64,10,0.001579
128,1,0.001976
128,2,0.002645
128,3,0.002257
128,4,0.002112
128,5,0.001926
128,6,0.002534
128,7,0.002061
128,8,0.002733
128,9,0.002106
128,10,0.001932
256,1,0.012039
256,2,0.012631
256,3,0.012723
256,4,0.014010
256,5,0.009594
256,6,0.012307
256,7,0.011459
256,8,0.012165
256,9,0.011466
256,10,0.009426
512,1,0.035820
512,2,0.036555
512,3,0.035982
512,4,0.036280
512,5,0.034908
512,6,0.050310
512,7,0.035206
512,8,0.035688
512,9,0.036633
512,10,0.037720
1024,1,0.154675
1024,2,0.157286
1024,3,0.153193
1024,4,0.153307
1024,5,0.157843
1024,6,0.163457
1024,7,0.159939
1024,8,0.163458
1024,9,0.160420
1024,10,0.156339
2048,1,0.741464
2048,2,0.726930
2048,3,0.733321
2048,4,0.754382
2048,5,0.737288
2048,6,0.724936
2048,7,0.730284
2048,8,0.724655
2048,9,0.729907
2048,10,0.731122
4096,1,3.218072
4096,2,3.235229
4096,3,3.200607
4096,4,3.162145
4096,5,3.169770
4096,6,3.151767
4096,7,3.142849
4096,8,3.151282
4096,9,3.218041
4096,10,3.154754
