NThreads,Run,ExecutionTime
1,1,0.063338
1,2,0.049914
1,3,0.048442
1,4,0.047784
1,5,0.047308
1,6,0.049160
1,7,0.047510
1,8,0.047305
1,9,0.048835
1,10,0.047642
2,1,0.037070
2,2,0.042809
2,3,0.046643
2,4,0.037068
2,5,0.036879
2,6,0.041275
2,7,0.042010
2,8,0.039283
2,9,0.042781
2,10,0.043146
4,1,0.026803
4,2,0.030581
4,3,0.028653
4,4,0.030512
4,5,0.028451
4,6,0.030318
4,7,0.029259
4,8,0.027919
4,9,0.029899
4,10,0.025127
6,1,0.023921
6,2,0.023839
6,3,0.022835
6,4,0.023500
6,5,0.024287
6,6,0.024139
6,7,0.023418
6,8,0.022801
6,9,0.025546
6,10,0.024696
8,1,0.022161
8,2,0.022897
8,3,0.019620
8,4,0.022429
8,5,0.022735
8,6,0.021359
8,7,0.024970
8,8,0.022200
8,9,0.020408
8,10,0.021737
12,1,0.018279
12,2,0.020543
12,3,0.017852
12,4,0.019019
12,5,0.017892
12,6,0.022373
12,7,0.018757
12,8,0.018831
12,9,0.020371
12,10,0.017542
16,1,0.019256
16,2,0.019832
16,3,0.014499
16,4,0.018856
16,5,0.021785
16,6,0.015039
16,7,0.014914
16,8,0.013400
16,9,0.012628
16,10,0.018119
