NThreads,Run,ExecutionTime
1,1,0.862331
1,2,0.865056
1,3,0.865666
1,4,0.872957
1,5,0.898936
1,6,0.912576
1,7,0.880780
1,8,0.914775
1,9,0.909859
1,10,0.877282
2,1,0.467999
2,2,0.469213
2,3,0.467078
2,4,0.471589
2,5,0.469764
2,6,0.467642
2,7,0.538902
2,8,0.471258
2,9,0.468485
2,10,0.478892
4,1,0.285950
4,2,0.301938
4,3,0.301228
4,4,0.303436
4,5,0.294513
4,6,0.285518
4,7,0.303232
4,8,0.300878
4,9,0.284984
4,10,0.293728
8,1,0.143571
8,2,0.143760
8,3,0.145777
8,4,0.166073
8,5,0.172061
8,6,0.174214
8,7,0.190268
8,8,0.183219
8,9,0.183187
8,10,0.186035
16,1,0.120013
16,2,0.118788
16,3,0.122317
16,4,0.118053
16,5,0.122069
16,6,0.118349
16,7,0.118368
16,8,0.117025
16,9,0.119526
16,10,0.119181
