N,NThreads,Run,ExecutionTime
64,1,0,0.003684
64,1,1,0.003395
64,1,2,0.003796
64,1,3,0.003636
64,1,4,0.003756
64,1,5,0.003780
64,1,6,0.002454
64,1,7,0.002892
64,1,8,0.003729
64,1,9,0.003751
64,2,0,0.002356
64,2,1,0.002154
64,2,2,0.002824
64,2,3,0.002153
64,2,4,0.002869
64,2,5,0.002851
64,2,6,0.002335
64,2,7,0.002369
64,2,8,0.002850
64,2,9,0.002668
64,3,0,0.002202
64,3,1,0.002095
64,3,2,0.002137
64,3,3,0.001739
64,3,4,0.001918
64,3,5,0.002089
64,3,6,0.002120
64,3,7,0.002170
64,3,8,0.001855
64,3,9,0.001866
64,4,0,0.001691
64,4,1,0.001927
64,4,2,0.002035
64,4,3,0.001870
64,4,4,0.001874
64,4,5,0.001762
64,4,6,0.001852
64,4,7,0.001949
64,4,8,0.001767
64,4,9,0.001731
64,5,0,0.001840
64,5,1,0.001602
64,5,2,0.002167
64,5,3,0.001875
64,5,4,0.001670
64,5,5,0.002085
64,5,6,0.001869
64,5,7,0.001656
64,5,8,0.001708
64,5,9,0.001699
64,6,0,0.002110
64,6,1,0.001796
64,6,2,0.001745
64,6,3,0.001485
64,6,4,0.001749
64,6,5,0.001645
64,6,6,0.001669
64,6,7,0.001761
64,6,8,0.001552
64,6,9,0.001704
64,7,0,0.002083
64,7,1,0.001850
64,7,2,0.001621
64,7,3,0.001657
64,7,4,0.001656
64,7,5,0.001990
64,7,6,0.002226
64,7,7,0.001819
64,7,8,0.001698
64,7,9,0.001598
64,8,0,0.001962
64,8,1,0.002069
64,8,2,0.001935
64,8,3,0.001992
64,8,4,0.001880
64,8,5,0.001903
64,8,6,0.002094
64,8,7,0.001627
64,8,8,0.001655
64,8,9,0.001656
64,9,0,0.001893
64,9,1,0.001703
64,9,2,0.001648
64,9,3,0.002136
64,9,4,0.001986
64,9,5,0.001783
64,9,6,0.001874
64,9,7,0.001820
64,9,8,0.001577
64,9,9,0.001630
64,10,0,0.001938
64,10,1,0.002020
64,10,2,0.001896
64,10,3,0.002091
64,10,4,0.001769
64,10,5,0.002047
64,10,6,0.002136
64,10,7,0.002093
64,10,8,0.002116
64,10,9,0.002103
64,11,0,0.002125
64,11,1,0.002019
64,11,2,0.001937
64,11,3,0.002048
64,11,4,0.001936
64,11,5,0.001928
64,11,6,0.002234
64,11,7,0.002268
64,11,8,0.002205
64,11,9,0.002042
64,12,0,0.002143
64,12,1,0.001927
64,12,2,0.002177
64,12,3,0.002065
64,12,4,0.002292
64,12,5,0.002269
64,12,6,0.002058
64,12,7,0.001910
64,12,8,0.001798
64,12,9,0.001872
64,13,0,0.002000
64,13,1,0.001754
64,13,2,0.001821
64,13,3,0.002230
64,13,4,0.002129
64,13,5,0.001818
64,13,6,0.002160
64,13,7,0.001800
64,13,8,0.001779
64,13,9,0.002082
64,14,0,0.001998
64,14,1,0.002219
64,14,2,0.002141
64,14,3,0.002045
64,14,4,0.001868
64,14,5,0.001948
64,14,6,0.001839
64,14,7,0.001670
64,14,8,0.001999
64,14,9,0.001523
64,15,0,0.002005
64,15,1,0.001815
64,15,2,0.001910
64,15,3,0.001700
64,15,4,0.002014
64,15,5,0.001664
64,15,6,0.001775
64,15,7,0.001785
64,15,8,0.002063
64,15,9,0.002634
64,16,0,0.002471
64,16,1,0.002092
64,16,2,0.002198
64,16,3,0.002142
64,16,4,0.002359
64,16,5,0.002271
64,16,6,0.001976
64,16,7,0.002112
64,16,8,0.002122
64,16,9,0.001909
128,1,0,0.003834
128,1,1,0.006470
128,1,2,0.007035
128,1,3,0.005264
128,1,4,0.005610
128,1,5,0.008625
128,1,6,0.006063
128,1,7,0.004746
128,1,8,0.006471
128,1,9,0.008531
128,2,0,0.006859
128,2,1,0.006679
128,2,2,0.004425
128,2,3,0.007667
128,2,4,0.006794
128,2,5,0.006721
128,2,6,0.006855
128,2,7,0.005971
128,2,8,0.008144
128,2,9,0.006787
128,3,0,0.004696
128,3,1,0.004303
128,3,2,0.005438
128,3,3,0.005092
128,3,4,0.005051
128,3,5,0.004933
128,3,6,0.007972
128,3,7,0.004961
128,3,8,0.005424
128,3,9,0.004429
128,4,0,0.003983
128,4,1,0.004297
128,4,2,0.005607
128,4,3,0.004323
128,4,4,0.003692
128,4,5,0.003583
128,4,6,0.004400
128,4,7,0.003907
128,4,8,0.004248
128,4,9,0.004194
128,5,0,0.003893
128,5,1,0.003824
128,5,2,0.003450
128,5,3,0.003392
128,5,4,0.003475
128,5,5,0.003972
128,5,6,0.003796
128,5,7,0.004017
128,5,8,0.003974
128,5,9,0.003471
128,6,0,0.003560
128,6,1,0.003877
128,6,2,0.003520
128,6,3,0.004558
128,6,4,0.004267
128,6,5,0.003472
128,6,6,0.003758
128,6,7,0.003401
128,6,8,0.003420
128,6,9,0.003656
128,7,0,0.003373
128,7,1,0.003685
128,7,2,0.003444
128,7,3,0.003254
128,7,4,0.003580
128,7,5,0.003517
128,7,6,0.004331
128,7,7,0.003364
128,7,8,0.003563
128,7,9,0.003373
128,8,0,0.004057
128,8,1,0.003897
128,8,2,0.003133
128,8,3,0.003251
128,8,4,0.004327
128,8,5,0.003028
128,8,6,0.003108
128,8,7,0.003201
128,8,8,0.002633
128,8,9,0.003529
128,9,0,0.003533
128,9,1,0.003157
128,9,2,0.003779
128,9,3,0.003497
128,9,4,0.003878
128,9,5,0.002618
128,9,6,0.002620
128,9,7,0.003749
128,9,8,0.003118
128,9,9,0.003873
128,10,0,0.003996
128,10,1,0.002906
128,10,2,0.003311
128,10,3,0.003033
128,10,4,0.003785
128,10,5,0.003303
128,10,6,0.003579
128,10,7,0.002942
128,10,8,0.003988
128,10,9,0.003249
128,11,0,0.003859
128,11,1,0.002967
128,11,2,0.003569
128,11,3,0.002897
128,11,4,0.002461
128,11,5,0.002577
128,11,6,0.002518
128,11,7,0.003852
128,11,8,0.003267
128,11,9,0.002840
128,12,0,0.002711
128,12,1,0.004043
128,12,2,0.002831
128,12,3,0.002582
128,12,4,0.002650
128,12,5,0.004119
128,12,6,0.003430
128,12,7,0.003366
128,12,8,0.002878
128,12,9,0.003621
128,13,0,0.003049
128,13,1,0.002571
128,13,2,0.002743
128,13,3,0.003620
128,13,4,0.002948
128,13,5,0.002534
128,13,6,0.002758
128,13,7,0.003083
128,13,8,0.003245
128,13,9,0.002810
128,14,0,0.002916
128,14,1,0.003446
128,14,2,0.002851
128,14,3,0.002494
128,14,4,0.003141
128,14,5,0.003454
128,14,6,0.002773
128,14,7,0.002659
128,14,8,0.002518
128,14,9,0.002858
128,15,0,0.002375
128,15,1,0.002402
128,15,2,0.002448
128,15,3,0.001982
128,15,4,0.002008
128,15,5,0.002254
128,15,6,0.001717
128,15,7,0.003141
128,15,8,0.002882
128,15,9,0.002966
128,16,0,0.003019
128,16,1,0.002955
128,16,2,0.002779
128,16,3,0.002653
128,16,4,0.002732
128,16,5,0.002747
128,16,6,0.002541
128,16,7,0.002112
128,16,8,0.002030
128,16,9,0.002040
256,1,0,0.012686
256,1,1,0.014486
256,1,2,0.013373
256,1,3,0.015166
